orign,origin,phonetic,parts_of_speech,postitive_degree
むかっと,むかっと,副詞,-0.22291,
並べて,なべて,副詞,-0.22334,
どっしり,どっしり,副詞,-0.223466,
宛ら,さながら,副詞,-0.223916,
ぱちくり,ぱちくり,副詞,-0.226379,
するりと,するりと,副詞,-0.227091,
どっさり,どっさり,副詞,-0.227226,
手ずから,てずから,副詞,-0.227583,
ゆめ,ゆめ,副詞,-0.228085,
実に,げに,副詞,-0.228301,
猛然,もうぜん,副詞,-0.228467,
要するに,ようするに,副詞,-0.229123,
どうにか,どうにかこうにか,副詞,-0.229655,
ぴちっと,ぴちっと,副詞,-0.23019,
向後,きょうこう,副詞,-0.232198,
とっても,とっても,副詞,-0.232971,
高高,たかだか,副詞,-0.233169,
仮令,たとい,副詞,-0.233506,
心して,こころして,副詞,-0.234193,
ぼちぼち,ぼちぼち,副詞,-0.234638,
三三五五,さんさんごご,副詞,-0.23464,
ずっしり,ずっしり,副詞,-0.235226,
極力,きょくりょく,副詞,-0.236071,
頓に,とみに,副詞,-0.237158,
もっと,もっと,副詞,-0.237262,
ごろりと,ごろりと,副詞,-0.237421,
折角,せっかく,副詞,-0.238281,
ふうふう,ふうふう,副詞,-0.238639,
たんまり,たんまり,副詞,-0.239503,
するする,するする,副詞,-0.239545,
終生,しゅうせい,副詞,-0.239852,
逐年,ちくねん,副詞,-0.240258,
漸次,ぜんじ,副詞,-0.24094,
かちんと,かちんと,副詞,-0.24185,
ふらっと,ふらっと,副詞,-0.241926,
ごろごろ,ごろごろ,副詞,-0.24387,
こっくり,こっくり,副詞,-0.24388,
ぴしぴし,ぴしぴし,副詞,-0.244313,
総じて,そうじて,副詞,-0.244492,
さんざ,さんざ,副詞,-0.244958,
そわそわ,そわそわ,副詞,-0.245483,
むんずと,むんずと,副詞,-0.245588,
よくせき,よくせき,副詞,-0.246163,
豈,あに,副詞,-0.246977,
そろばん,そろばんずく,副詞,-0.2475,
さっき,さっき,副詞,-0.247876,
ぼっと,ぼっと,副詞,-0.248482,
からりと,からりと,副詞,-0.248987,
どきどき,どきどき,副詞,-0.249407,
内内,うちうち,副詞,-0.249781,
泣く泣く,なくなく,副詞,-0.250189,
昏昏と,こんこんと,副詞,-0.250734,
強いて,しいて,副詞,-0.252429,
ちょっきり,ちょっきり,副詞,-0.252802,
断じて,だんじて,副詞,-0.25297,
がらんと,がらんと,副詞,-0.252991,
不日,ふじつ,副詞,-0.254168,
何がさて,なにがさて,副詞,-0.255512,
うつらうつら,うつらうつら,副詞,-0.256202,
ごりごり,ごりごり,副詞,-0.256969,
刻刻,こっこく,副詞,-0.257385,
ぽっぽと,ぽっぽと,副詞,-0.258743,
遥遥,はるばる,副詞,-0.259908,
実に,じつに,副詞,-0.260427,
好んで,このんで,副詞,-0.261175,
いきなり,いきなり,副詞,-0.262211,
ぼってり,ぼってり,副詞,-0.263542,
逐次,ちくじ,副詞,-0.263991,
ゆっくり,ゆっくり,副詞,-0.266489,
かなり,かなり,副詞,-0.266611,
せっせと,せっせと,副詞,-0.269017,
存外,ぞんがい,副詞,-0.269114,
のそのそ,のそのそ,副詞,-0.269779,
自ずと,おのずと,副詞,-0.271991,
よたよた,よたよた,副詞,-0.272164,
コンパチ,コンパチ,副詞,-0.273506,
あながち,あながち,副詞,-0.273555,
くりくり,くりくり,副詞,-0.274715,
重重,じゅうじゅう,副詞,-0.274884,
もたもた,もたもた,副詞,-0.275298,
ぼてぼて,ぼてぼて,副詞,-0.276394,
ふにゃふにゃ,ふにゃふにゃ,副詞,-0.277833,
ごそごそ,ごそごそ,副詞,-0.277848,
夜通し,よどおし,副詞,-0.279116,
末始終,すえしじゅう,副詞,-0.279602,
余程,よほど,副詞,-0.280032,
畢竟,ひっきょう,副詞,-0.28018,
ちゃんと,ちゃんと,副詞,-0.280786,
きゃあきゃあ,きゃあきゃあ,副詞,-0.281028,
流石,さすが,副詞,-0.281609,
忽然と,こつねんと,副詞,-0.282207,
せめて,せめて,副詞,-0.282485,
概して,がいして,副詞,-0.282576,
遥か,はるか,副詞,-0.283165,
到底,とうてい,副詞,-0.283332,
驀地,まっしぐら,副詞,-0.283554,
最も,もっとも,副詞,-0.283575,
ぱったり,ぱったり,副詞,-0.284014,
万万,ばんばん,副詞,-0.28557,
荏苒,じんぜん,副詞,-0.285646,
にょろにょろ,にょろにょろ,副詞,-0.286181,
そうこう,そうこう,副詞,-0.286313,
くさくさ,くさくさ,副詞,-0.287934,
ぐっと,ぐっと,副詞,-0.28798,
命からがら,いのちからがら,副詞,-0.288196,
まったり,まったり,副詞,-0.288503,
がぶりと,がぶりと,副詞,-0.288767,
初めまして,はじめまして,副詞,-0.289099,
突如,とつじょ,副詞,-0.289598,
改めて,あらためて,副詞,-0.291937,
時時刻刻,じじこっこく,副詞,-0.292209,
頑として,がんとして,副詞,-0.292267,
がばと,がばと,副詞,-0.292338,
へなへな,へなへな,副詞,-0.292617,
ひたと,ひたと,副詞,-0.293052,
辛くも,からくも,副詞,-0.294765,
つけつけ,つけつけ,副詞,-0.29535,
果然,かぜん,副詞,-0.297638,
転た,うたた,副詞,-0.302063,
ありあり,ありあり,副詞,-0.302591,
ぷすりと,ぷすりと,副詞,-0.305237,
ほんのり,ほんのり,副詞,-0.305283,
極めて,きわめて,副詞,-0.307421,
何やら,なにやら,副詞,-0.307869,
年年,としどし,副詞,-0.30858,
素より,もとより,副詞,-0.308838,
別して,べっして,副詞,-0.30927,
なまじ,なまじ,副詞,-0.309595,
のっそり,のっそり,副詞,-0.311146,
少なくとも,すくなくとも,副詞,-0.312943,
十分,じゅうぶん,副詞,-0.313183,
どっかり,どっかり,副詞,-0.31597,
ああ,ああ,副詞,-0.31688,
ふらりと,ふらりと,副詞,-0.31729,
さしあたり,さしあたり,副詞,-0.318362,
朝な夕な,あさなゆうな,副詞,-0.319419,
よぼよぼ,よぼよぼ,副詞,-0.319505,
年年,ねんねん,副詞,-0.319678,
早速,さっそく,副詞,-0.320195,
徒然,つれづれ,副詞,-0.320453,
ぼんやり,ぼんやり,副詞,-0.320916,
ゆさゆさ,ゆさゆさ,副詞,-0.321345,
たった,たった,副詞,-0.322991,
どんと,どんと,副詞,-0.32467,
幾分,いくぶん,副詞,-0.325132,
かいくれ,かいくれ,副詞,-0.327448,
年中,ねんじゅう,副詞,-0.328228,
ちやほや,ちやほや,副詞,-0.328589,
すらり,すらり,副詞,-0.328734,
何だか,なんだか,副詞,-0.329697,
居ながら,いながら,副詞,-0.330452,
決して,けっして,副詞,-0.331464,
かっちり,かっちり,副詞,-0.332418,
希くは,こいねがわくは,副詞,-0.33349,
近近,きんきん,副詞,-0.334019,
何とぞ,なにとぞ,副詞,-0.334912,
恐らく,おそらく,副詞,-0.335858,
追追,おいおい,副詞,-0.336028,
だらり,だらり,副詞,-0.33606,
ぴたりと,ぴたりと,副詞,-0.336674,
すっと,すっと,副詞,-0.336759,
なみなみ,なみなみ,副詞,-0.337425,
びしびし,びしびし,副詞,-0.339739,
一時に,いちどきに,副詞,-0.340194,
大方,おおかた,副詞,-0.340204,
とっくり,とっくり,副詞,-0.340974,
押し並べて,おしなべて,副詞,-0.341933,
ばっさり,ばっさり,副詞,-0.342909,
くらくら,くらくら,副詞,-0.3437,
一概に,いちがいに,副詞,-0.345347,
専ら,もっぱら,副詞,-0.345528,
ぷんと,ぷんと,副詞,-0.346515,
やんわり,やんわり,副詞,-0.346666,
徒然,とぜん,副詞,-0.349586,
しかく,しかく,副詞,-0.349834,
へいこら,へいこら,副詞,-0.351545,
すごすご,すごすご,副詞,-0.353129,
滅法,めっぽう,副詞,-0.353446,
多多,たた,副詞,-0.354553,
へどもど,へどもど,副詞,-0.354576,
うかと,うかと,副詞,-0.355806,
のっしのっし,のっしのっし,副詞,-0.355934,
とろんと,とろんと,副詞,-0.356139,
日に日に,ひにひに,副詞,-0.356987,
何しろ,なにしろ,副詞,-0.3577,
たま,たま,副詞,-0.357927,
ちゃらちゃら,ちゃらちゃら,副詞,-0.359644,
でんこう,でんこうニュース,副詞,-0.36024,
ぴょこぴょこ,ぴょこぴょこ,副詞,-0.360481,
もぐもぐ,もぐもぐ,副詞,-0.36068,
うそうそ,うそうそ,副詞,-0.361298,
へいへい,へいへい,副詞,-0.361981,
麗麗と,れいれいと,副詞,-0.362176,
層一層,そういっそう,副詞,-0.363422,
ちょぼちょぼ,ちょぼちょぼ,副詞,-0.364081,
きゅっと,きゅっと,副詞,-0.364276,
つかつか,つかつか,副詞,-0.365592,
安んぞ,いずくんぞ,副詞,-0.366688,
至急,しきゅう,副詞,-0.367669,
うろちょろ,うろちょろ,副詞,-0.367837,
すぐさま,すぐさま,副詞,-0.368014,
大変,たいへん,副詞,-0.369115,
飽くまで,あくまで,副詞,-0.369705,
ずるずる,ずるずる,副詞,-0.369802,
とことん,とことん,副詞,-0.37125,
遺憾無く,いかんなく,副詞,-0.371276,
憚りながら,はばかりながら,副詞,-0.371344,
何とか,なんとか,副詞,-0.372072,
必ずしも,かならずしも,副詞,-0.372851,
